,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemod/Add,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,SalePrice,MSZoning_mean_enc,LotShape_mean_enc,LandContour_mean_enc,LotConfig_mean_enc,Neighborhood_mean_enc,Condition1_mean_enc,Condition2_mean_enc,BldgType_mean_enc,HouseStyle_mean_enc,RoofStyle_mean_enc,RoofMatl_mean_enc,Exterior1st_mean_enc,Exterior2nd_mean_enc,MasVnrType_mean_enc,ExterQual_mean_enc,ExterCond_mean_enc,Foundation_mean_enc,BsmtQual_mean_enc,BsmtCond_mean_enc,BsmtExposure_mean_enc,BsmtFinType1_mean_enc,BsmtFinType2_mean_enc,HeatingQC_mean_enc,CentralAir_mean_enc,Electrical_mean_enc,KitchenQual_mean_enc,Functional_mean_enc,GarageType_mean_enc,GarageFinish_mean_enc,GarageQual_mean_enc,GarageCond_mean_enc,PavedDrive_mean_enc,SaleType_mean_enc,TotalIndoorSF,TotalIndoorSF_squared,TotalIndoorSF_sqrt,TotalOutdoorSF,RenoYr_x_YrBuilt,OverallQual_x_Cond,OverallQual_x_IndoorSF,OverallQual_squared,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_Edwards,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_NAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA
0,69.05520046484602,13517,6,8,1976,2005,289.0,533.0,192.0,725.0,725,754,1479,0.0,2,1,3,6,0,1976.0,2.0,475.0,0,44,0,0,130500,191235.16458072592,211848.67052023122,178998.5648399349,230744.35877862596,137181.9099099099,139685.7142857143,181382.07555555555,185275.68588235293,206408.96321070235,171264.25324274244,180849.19703703703,159582.47333333333,166485.7135135135,212161.4365079365,230802.4849354376,185258.20247469065,148415.5307068366,139988.4611048478,184021.85823336968,164533.53248693055,237597.24552845527,185221.2841623785,216027.6075117371,187441.50366492147,187770.38222698073,211629.4516129032,183954.74934725848,205040.19538334708,204792.03626943004,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,4408.0,19430464.0,66.39277069079132,44,3961880,48,26448.0,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1,43.0,11492,7,5,1996,1997,132.0,637.0,276.0,913.0,913,1209,2122,1.0,2,1,4,8,1,1997.0,2.0,559.0,0,74,0,0,220000,191235.16458072592,211848.67052023122,178998.5648399349,230744.35877862596,187760.16091954024,185007.3101301641,181382.07555555555,185275.68588235293,206408.96321070235,171264.25324274244,180849.19703703703,218174.08287292818,217798.6851595007,212161.4365079365,230802.4849354376,185258.20247469065,227676.4838012959,202537.58217592593,184021.85823336968,164533.53248693055,237597.24552845527,185221.2841623785,216027.6075117371,187441.50366492147,187770.38222698073,211629.4516129032,183954.74934725848,205040.19538334708,204792.03626943004,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,6070.0,36844900.0,77.91020472312982,74,3986012,35,42490.0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2,68.0,7922,5,7,1953,2007,0.0,731.0,326.0,1057.0,1057,0,1057,1.0,1,0,3,5,0,1953.0,1.0,246.0,0,52,0,0,109000,191235.16458072592,162925.81235521234,178998.5648399349,177537.01463739187,145905.81612903226,185007.3101301641,181382.07555555555,185275.68588235293,179809.19452313503,171264.25324274244,180849.19703703703,218174.08287292818,217798.6851595007,153679.27586206896,143270.97834803528,167623.02325581395,148415.5307068366,139988.4611048478,184021.85823336968,164533.53248693055,237597.24552845527,185221.2841623785,138986.70519262983,187441.50366492147,187770.38222698073,211629.4516129032,183954.74934725848,132132.94776119402,140718.148409894,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,4228.0,17875984.0,65.02307282803544,52,3919671,35,21140.0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
3,73.0,9802,5,5,2006,2007,0.0,0.0,384.0,384.0,744,700,1444,0.0,2,1,3,7,0,2007.0,2.0,400.0,100,0,0,0,174000,191235.16458072592,162925.81235521234,178998.5648399349,177537.01463739187,241051.35416666666,185007.3101301641,181382.07555555555,185275.68588235293,206408.96321070235,171264.25324274244,180849.19703703703,218174.08287292818,217798.6851595007,153679.27586206896,143270.97834803528,185258.20247469065,227676.4838012959,202537.58217592593,184021.85823336968,164533.53248693055,166155.25704809287,185221.2841623785,160174.00940438872,187441.50366492147,187770.38222698073,139501.60744985673,183954.74934725848,247883.52272727274,239800.66404715128,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,3656.0,13366336.0,60.4648658313239,100,4026042,25,18280.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
4,82.0,14235,6,8,1900,1993,0.0,0.0,676.0,676.0,831,614,1445,0.0,2,0,3,6,0,1957.0,2.0,484.0,0,59,0,0,138500,191235.16458072592,211848.67052023122,178998.5648399349,177537.01463739187,187760.16091954024,185007.3101301641,181382.07555555555,185275.68588235293,136480.09174311926,171264.25324274244,180849.19703703703,142940.88768115942,166485.7135135135,153679.27586206896,143270.97834803528,185258.20247469065,227676.4838012959,107752.16666666667,223969.55056179775,164533.53248693055,166155.25704809287,185221.2841623785,138986.70519262983,187441.50366492147,187770.38222698073,139501.60744985673,183954.74934725848,132132.94776119402,140718.148409894,188312.70032751092,188211.90096359744,104562.82781456954,174912.25154407637,4242.0,17994564.0,65.13063795173512,59,3786700,48,25452.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
5,137.0,16492,6,6,1966,2002,0.0,247.0,557.0,1517.0,1888,0,1888,0.0,2,1,2,6,1,1966.0,2.0,578.0,0,0,0,0,190000,191235.16458072592,211848.67052023122,178998.5648399349,180629.591954023,145905.81612903226,254733.33333333334,181382.07555555555,185275.68588235293,179809.19452313503,171264.25324274244,180849.19703703703,193055.09375,166485.7135135135,153679.27586206896,230802.4849354376,185258.20247469065,148415.5307068366,139988.4611048478,184021.85823336968,164533.53248693055,164368.0170648464,164538.75,216027.6075117371,187441.50366492147,187770.38222698073,211629.4516129032,148108.72413793104,205040.19538334708,239800.66404715128,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,6097.0,37173409.0,78.08328886515987,0,3935932,36,36582.0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
6,35.0,3675,6,5,2005,2006,82.0,547.0,0.0,547.0,1072,0,1072,1.0,2,0,2,5,0,2005.0,2.0,525.0,0,44,0,0,140000,129119.14240506329,162925.81235521234,178998.5648399349,177537.01463739187,130493.46853146853,185007.3101301641,181382.07555555555,198312.37267080744,149343.92,171264.25324274244,180849.19703703703,218174.08287292818,217798.6851595007,212161.4365079365,143270.97834803528,185258.20247469065,227676.4838012959,202537.58217592593,184021.85823336968,271610.5665024631,237597.24552845527,185221.2841623785,160174.00940438872,187441.50366492147,187770.38222698073,139501.60744985673,183954.74934725848,143242.33333333334,239800.66404715128,188312.70032751092,188211.90096359744,188792.16389038152,279021.05625,3238.0,10484644.0,56.90342696182718,44,4022030,30,19428.0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
7,69.05520046484602,12160,5,5,1959,1959,180.0,1000.0,188.0,1188.0,1188,0,1188,1.0,1,0,3,6,0,1959.0,2.0,531.0,0,0,0,0,142000,191235.16458072592,211848.67052023122,178998.5648399349,177537.01463739187,145905.81612903226,185007.3101301641,181382.07555555555,185275.68588235293,179809.19452313503,224366.6549118388,180849.19703703703,170511.45394736843,166485.7135135135,212161.4365079365,143270.97834803528,185258.20247469065,148415.5307068366,139988.4611048478,184021.85823336968,164533.53248693055,143263.3825136612,185221.2841623785,117123.64179104478,187441.50366492147,187770.38222698073,139501.60744985673,183954.74934725848,205040.19538334708,204792.03626943004,188312.70032751092,188211.90096359744,188792.16389038152,133574.52380952382,4752.0,22581504.0,68.93475175845634,0,3837681,25,23760.0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
8,69.05520046484602,15783,5,5,1952,1952,0.0,292.0,632.0,924.0,924,0,924,0.0,1,0,2,6,0,1952.0,1.0,420.0,0,324,0,0,112500,191235.16458072592,162925.81235521234,178998.5648399349,177537.01463739187,125276.30061349693,128765.0,181382.07555555555,185275.68588235293,179809.19452313503,171264.25324274244,180849.19703703703,142940.88768115942,145654.3969465649,153679.27586206896,143270.97834803528,185258.20247469065,148415.5307068366,139988.4611048478,184021.85823336968,164533.53248693055,143263.3825136612,185221.2841623785,138986.70519262983,187441.50366492147,187770.38222698073,139501.60744985673,183954.74934725848,132132.94776119402,140718.148409894,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,3696.0,13660416.0,60.794736614282655,324,3810304,25,18480.0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
9,70.0,11606,5,5,1969,1969,192.0,650.0,390.0,1040.0,1040,1040,2080,0.0,1,2,5,9,2,1969.0,2.0,504.0,335,0,0,0,135000,191235.16458072592,211848.67052023122,262353.37647058826,177537.01463739187,145905.81612903226,185007.3101301641,181382.07555555555,185275.68588235293,206408.96321070235,171264.25324274244,180849.19703703703,170511.45394736843,166485.7135135135,212161.4365079365,143270.97834803528,185258.20247469065,227676.4838012959,202537.58217592593,184021.85823336968,206262.45138888888,143263.3825136612,185221.2841623785,138986.70519262983,187441.50366492147,187770.38222698073,101334.9574468085,183954.74934725848,205040.19538334708,140718.148409894,188312.70032751092,188211.90096359744,188792.16389038152,174912.25154407637,6240.0,38937600.0,78.99367063252599,335,3876961,25,31200.0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
